ExcelRow,RowID,Description,FieldID,Value,Units
W.4,W.4,DHW or SHW Efficiency Factor (EF),d_52,90,
W.5.1,W.5.1,Drain Water Heat Recovery Efficiency,d_53,55,
A.2,A.2,Radon (annual avg.),d_56,50,
A.3,A.3,CO2 (annual avg.),d_57,550,
A.4,A.4,TVOC (annual avg.),d_58,100,
A.5,A.5,Rel. Indoor Humidity (annual avg.),d_59,45,
A.6,A.6,Atmospheric Offsets,d_60,0.00,
G.1.1,G.1.1,Occupants per Building (declared),d_63,555.00,
G.1.1,G.1.1,Occupants per Building (declared),g_63,12,
G.1.2,G.1.2,Occupant Activity,d_64,Active,
P.2,P.2,Lighting Loads,d_66,1.5,
P.3.1,P.3.1,Equipment Loads,g_67,Regular,
P.3.2,P.3.2,Elevator Loads (W/m² → Eqpt Gains),d_68,Elevators,
G.7,G.7,Doors,d_73,55,
G.7,G.7,Doors,e_73,Average,
G.7,G.7,Doors,f_73,50,
G.7,G.7,Doors,g_73,0,
G.7,G.7,Doors,h_73,0,
G.8.1,G.8.1,Window Area North,d_74,555,
G.8.1,G.8.1,Window Area North,e_74,North,
G.8.1,G.8.1,Window Area North,f_74,50,
G.8.1,G.8.1,Window Area North,g_74,0,
G.8.1,G.8.1,Window Area North,h_74,0,
G.8.2,G.8.2,Window Area East,d_75,555,
G.8.2,G.8.2,Window Area East,e_75,East,
G.8.2,G.8.2,Window Area East,f_75,50,
G.8.2,G.8.2,Window Area East,g_75,0,
G.8.2,G.8.2,Window Area East,h_75,0,
G.8.3,G.8.3,Window Area South,d_76,555,
G.8.3,G.8.3,Window Area South,e_76,South,
G.8.3,G.8.3,Window Area South,f_76,50,
G.8.3,G.8.3,Window Area South,g_76,0,
G.8.3,G.8.3,Window Area South,h_76,0,
G.8.4,G.8.4,Window Area West,d_77,555,
G.8.4,G.8.4,Window Area West,e_77,West,
G.8.4,G.8.4,Window Area West,f_77,50,
G.8.4,G.8.4,Window Area West,g_77,0,
G.8.4,G.8.4,Window Area West,h_77,0,
G.8.5,G.8.5,Skylights,d_78,555,
G.8.5,G.8.5,Skylights,e_78,Skylight,
G.8.5,G.8.5,Skylights,f_78,50,
G.8.5,G.8.5,Skylights,g_78,0,
G.8.5,G.8.5,Skylights,h_78,0,
G.2,G.2,Gains Utilization Factor (n-Factor),d_80,NRC 50%,
B.4,B.4,Roof,d_85,5555,
B.4,B.4,Roof,f_85,55,
B.5,B.5,Walls Above Grade (Exclude Openings!),d_86,555,
B.5,B.5,Walls Above Grade (Exclude Openings!),f_86,5,
B.6,B.6,Floor Exposed,d_87,5555,
B.6,B.6,Floor Exposed,f_87,5,
B.7.0,B.7.0,Doors,g_88,0.5,
B.8.1,B.8.1,Window Area North,g_89,0.5,
B.8.2,B.8.2,Window Area East,g_90,0.5,
B.8.3,B.8.3,Window Area South,g_91,0.5,
B.8.4,B.8.4,Window Area West,g_92,0.5,
B.8.5,B.8.5,Skylights,g_93,0.5,
B.9,B.9,Walls Below Grade (Conditioned Space),d_94,55,
B.9,B.9,Walls Below Grade (Conditioned Space),f_94,5,
B.10,B.10,Floor Slab (Conditioned Space),d_95,55,
B.10,B.10,Floor Slab (Conditioned Space),f_95,5,
B.11,B.11,B.11 Interior Floors (incl. garages),d_96,555,
B.12,B.12,Thermal Bridge Penalty (min. 5-70%),d_97,0.55,
B.18.3,B.18.3,Heating Natural Air Leakage Heatloss,d_103,5,
B.18.3,B.18.3,Heating Natural Air Leakage Heatloss,g_103,Exposed,
B.13,B.13,Total Conditioned Volume,d_105,55555,
B.18.1,B.18.1,NRL₅₀ Target Method,d_108,AL-5B,
B.18.2,B.18.2,ACH₅₀ Target (Converts B.18.1),g_109,1.50,
M.1.0,M.1.0,Primary Heating System,d_113,Oil,
M.1.0,M.1.0,Primary Heating System,f_113,6,
M.2.2,M.2.2,Heating Fuel Impact (ekWh/yr),j_115,0.55,
M.3.0,M.3.0,Heatpump or Dedicated Cooling System,d_116,Cooling,
V.1.1,V.1.1,HRV/ERV/MVHR Efficiency (SRE),d_118,55,
V.1.1,V.1.1,HRV/ERV/MVHR Efficiency (SRE),g_118,Occupant Constant,
V.1.1,V.1.1,HRV/ERV/MVHR Efficiency (SRE),l_118,2.5,
V.1.4,V.1.4,Per Person Ventilation Rate,d_119,5,
V.1.4,V.1.4,Per Person Ventilation Rate,l_119,None,
V.1.6,V.1.6,Volumetric Ventilation Rate,k_120,0.55,
T.7.4,T.7.4,Cost Premium of HP Equipment,d_142,30000.00,
