ExcelRow,RowID,Description,FieldID,Value,Units
G.8.3,G.8.3,Window Area South,h_76,100,
G.8.4,G.8.4,Window Area West,d_77,100.66,
G.8.4,G.8.4,Window Area West,e_77,West,
G.8.4,G.8.4,Window Area West,f_77,50,
G.8.4,G.8.4,Window Area West,g_77,0,
G.8.4,G.8.4,Window Area West,h_77,90,
G.8.5,G.8.5,Skylights,d_78,0.00,
G.8.5,G.8.5,Skylights,e_78,Skylight,
G.8.5,G.8.5,Skylights,f_78,50,
G.8.5,G.8.5,Skylights,g_78,0,
G.8.5,G.8.5,Skylights,h_78,80,
G.2,G.2,Gains Utilization Factor (n-Factor),d_80,NRC 40%,
B.4,B.4,Roof,d_85,1411.52,
B.4,B.4,Roof,f_85,9.35,
B.5,B.5,Walls Above Grade (Exclude Openings!),d_86,712.97,
B.5,B.5,Walls Above Grade (Exclude Openings!),f_86,6.69,
B.6,B.6,Floor Exposed,d_87,0,
B.6,B.6,Floor Exposed,f_87,9.52,
B.7.0,B.7.0,Doors,g_88,0.9,
B.8.1,B.8.1,Window Area North,g_89,0.9,
B.8.2,B.8.2,Window Area East,g_90,0.9,
B.8.3,B.8.3,Window Area South,g_91,0.9,
B.8.4,B.8.4,Window Area West,g_92,0.9,
B.8.5,B.8.5,Skylights,g_93,0.9,
B.9,B.9,Walls Below Grade (Conditioned Space),d_94,0,
B.9,B.9,Walls Below Grade (Conditioned Space),f_94,4,
B.10,B.10,Floor Slab (Conditioned Space),d_95,1100.42,
B.10,B.10,Floor Slab (Conditioned Space),f_95,3.7,
B.11,B.11,B.11 Interior Floors (incl. garages),d_96,29.7,
B.12,B.12,Thermal Bridge Penalty (%),d_97,20,
B.18.3,B.18.3,Heating Natural Air Leakage Heatloss,d_103,1.5,
B.18.3,B.18.3,Heating Natural Air Leakage Heatloss,g_103,Normal,
B.13,B.13,Total Conditioned Volume,d_105,8000.00,
B.18.1,B.18.1,NRL₅₀ Target Method,d_108,AL-1B,
B.18.2,B.18.2,ACH₅₀ Target (Converts B.18.1),g_109,1.50,
M.1.0,M.1.0,Primary Heating System,d_113,Heatpump,
M.1.0,M.1.0,Primary Heating System,f_113,12.5,
M.2.2,M.2.2,Heating Fuel Impact (ekWh/yr),j_115,0.98,
M.3.0,M.3.0,Heatpump or Dedicated Cooling System,d_116,Cooling,
V.1.1,V.1.1,HRV/ERV/MVHR Efficiency (SRE),d_118,89,
V.1.1,V.1.1,HRV/ERV/MVHR Efficiency (SRE),g_118,Volume by Schedule,
V.1.1,V.1.1,HRV/ERV/MVHR Efficiency (SRE),l_118,3,
V.1.4,V.1.4,Per Person Ventilation Rate,d_119,14.00,
V.1.4,V.1.4,Per Person Ventilation Rate,l_119,None,
V.1.6,V.1.6,Volumetric Ventilation Rate,k_120,0.9,
T.7.4,T.7.4,Cost Premium of HP Equipment,d_142,30000.00,
