1,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R ,,REFERENCE VALUES,TOOLTIPS and REFERENCES,
35,T.3.8,Primary Energy ,"132,938.00",kWh/yr,93.15,kWh/m2/yr,1.0,PER Factor,,,,N/A,,,,,,,0,"PER: PHI has a unique, and very German way of calculating PER and emissions intensity that is often not reflective of Ontario or Canadian actual values. For this reason it makes more sense to consider SITE EUI only which has a PER of 1.0. OBJECTIVE calculates emission intensity and GHGI in its own line items, so using PER to drive emissions is not necessary or advised.  ",
36,,,,,,,,,,,,,,,,,,,,,
37,,"SECTION 5. CO2e Emissions (E.1 = Scope 1&2, E.3 = Scope 3)",,,,kgCO2e/m2,,kgCO2e/m2,,,,,,,,,,,,"Calculated Field:  This takes the carbon intensity of the respective Energy Consumption Fields above, substracts offsets  and returns a total. 7MT Assumed to be NORMAL for 4 Occupants",
38,E.1.2,GHGI Operational (B6) Emissions/yr ,6.78,MT CO2e/yr,,4.75,,237.52,(B6 Annual Emissions * Service Life),,,N/A,,,,,,,-,,
39,E.3.1,Typology-Based Carbon Intensity (A1-3),Pt.3 Mass Timber,,E.3.2,Typology-Based Cap (TGS4),,350.00,,,,99%,,ⓘ,,,,,Use Your Own Value,User defined field: Taken from the designer's best estimate of all materials used in construction. Should include GWP data sheets from material suppliers and allow for transportation energy and a local assembly carbon footprint allowance. Use of carbon offsets does not get applied at this cell. 78 Metric Tons of CO2 is assumed as a National Target per Building. This is to be refined in subsequent releases once more data becomes available.,
40,E.3.3,Total Embedded Carbon Emitted (A1-3),390.82,MT CO2e/Service Life,S.4,Embodied Carbon Target,,345.82,,,,69%,,,,,,,500,Calculated Field: This takes the carbon intensity of Embodied Carbon one cell above and divides by Building Size to derive an intensity figure.,
41,E.1.3,Lifetime Avoided (B6) Emissions ,"2,057.05",MT CO2e,E.3.4,Modelled Value (A1-3),,345.82,,,,100%,,,,,,,,,
42,,SECTION 6. Renewable Energy,kWh/yr,,,,,kWh/yr,,,,kWh/yr,,,,,,,,Onsite Energy offsets T3 value for both Targeted and Utility Bill Methods. Sum of local Renewable Energy Production. National Average is assumed to be 0%,
43,R.1,Onsite Energy Subtotals,0.00,,R.5,Offsite Renewable (REC),,0.00,P.5,Exterior/Site/Other Loads,,0.00,,,,,,,,,
44,R.2,Photovoltaics,0.00,,R.6,WWS Electricity,,0.00,,,,,,,,,,,,"User defined field: Annual locally produced electricity from Photovoltaics: This does not reduce TEUI, but it DOES reduce GHGI. ",
45,R.3,Wind,0.00,,R.7,Green Natural Gas,,0.00,ekWh/yr,0.00,m3,,,,,,,,,User defined field: Annual locally produced electricity from Wind Energy,
46,R.4,Remove EV Charging from TEUI,0.00,,R.8,Reserved (other removals),,0.00,,,,,,,,,,,,Separates out Transportation Related Loads from Building TEUI,
47,,,,,,,,,,,,,,,,,,,,,
48,,SECTION 7. Water Use (B7),Targeted,,,,litres/pp/day,litres/yr,Annual kWh/yr,Annual kWh/yr,,Reference,,,,,,,,"User Defined Field: Taken from water utility meter bills. Canadian average per person is 146,000 litres per year, or 251l/pp/day per 2011 ECCC. OBC Defined usage data is found under the Design Temps and Schedules Tab, but is 97l/pp/day SHW",
49,W.1.0,Total Hot+Cold Water Use (Method), User Defined ,40.00,l/pp/day IF User Defined,,40.00,"1,839,600",,,,15%,,ⓘ,,,,,275,"275 l/pp•day OBC,  900kWh/pp/yr",
50,W.1.2,DHW Use (40% of W.1.0),,"10,000.00",kWh/yr IF By Engineer,,16.00,"735,840","38,484.43",,,15%,,,,,,,110,,
51,W.3.1,DHW or SHW Energy Source ,Heatpump,0.00,Gas m3/yr,W.3.2,ekWh/yr Net Themal Demand,,"12,828.14","12,828.14",W.3.3 Net Electrical Demand,,,," $1,667.66 ",,,,,per Kesik 900kWh/pp/yr. PHPP 21kWh/m2/yr,
52,W.4,DHW or SHW Efficiency Factor (EF) ,300%,3.00,COPdhw,W.5.2,(W2DN) Net Demand -Recovered Energy,,"12,828.14",,,333%,,,,,,,0.9,,
53,W.5.1,Drain Water Heat Recovery Efficiency,0%,0.00,kWh/yr,W.5.3,(W.2.W) SHW Wasted,,"12,828.14",,,0%,,,,,,,0.42,Enter 0% if N/A,
54,W.6.1,System Losses (% → W.1.3 Eqpt Gains),0.00,kWh/yr,,W.X,Exhaust (if Gas or Oil),,0.00,0.00,W.3.4 Net Oil Demand Litres,,,,,,,,,,
55,,SECTION 8. Indoor Air Quality,Targeted,,Guidance Limits,,,,,,,% per Health Canada/NBC,,,,,,,,"Calculated Field:  An AQI index figure is taken as an average of the measurements from below. <100% = Good, >100% Poor",
56,A.2,Radon (annual avg.),50,Bq/m3,150,Bq/m3,,,,,,33%,,,,,,,150,"User Defined Field: Taken from a local IAQ/EAQ monitoring system such as Airthings. 150 Bq/m3 is considered the National Upper limit for safe levels of Radon, anything greater requires remediation",
57,A.3,CO2 (annual avg.),550,ppm,1000,ppm,,,,,,55%,,,,,,,1000,"User Defined Field: Taken from a local IAQ/EAQ monitoring system such as Airthings. 1,000ppm is considered the National Upper limit by Health Canada for safe levels of CO2, anything greater requires remediation",
58,A.4,TVOC (annual avg.),100,ppm,400,ppm,,,,,,25%,,,,,,,150,"User Defined Field: Taken from a local IAQ/EAQ monitoring system such as Airthings. 400ppm is considered the National Upper limit for safe levels of TVOC, anything greater requires remediation",
59,A.5,Rel. Indoor Humidity (annual avg.) ,45%,RH,30-60,%,,,,,,45%,,,,,,,30-50 ideal,User Defined Field: Taken from a local IAQ/EAQ monitoring system such as Airthings. 30-60% is considered the safe range for human health. Greater than 60% can result in mould formation. Less than 30% may worsen health issues.,
60,A.6,Atmospheric Offsets,0.00,MT/yr CO2e,,,,,,,,,,,,,,,,"User Defined Field: Acres dedicated for Carbon Offset, where 1 acre of marginally productive forest cover sequesters 1 MT of CO2/yr, and mature deciduous forest can sequester up to 3 MT of CO2/yr. National Average is assumed to be 0. Entering a value here does not reduce actual carbon embodied or emitted from the building and so has no effect on calculations. If it becomes codified in legislation at some point that carbon offsets can be applied to building metrics, then we can activate this cell. ",
61,,,,,,,,,,,,,,,,,,,,,
62,,SECTION 9. Occupant + Internal Gains,Unit Qty,,,,"Annual kWh/yr","Htg Gain kWh/yr","Htg Gain %","Cooling Gain kWh/yr","Htg Gain %",Reference,,,,,,,,,
63,G.1.1,Occupants per Building (declared),126,G.1.3,Occupied Hrs/Day,12,,4380,/ 8760,,,,,,,,,,,,
64,G.1.2,Occupant Activity,Normal,G.1.4,Watts/pp (S+L),117,"64,696.02","43,426.10",43.39%,"21,269.93",43.39%,,,,,,,,,,
65,P.1,Plug Loads,7,,,,"43,757.95","29,371.78",29.35%,"14,386.18",29.35%,71%,,,,,,,5,,
66,P.2,Lighting Loads,1.5,,,,"9,376.70","6,293.95",6.29%,"3,082.75",6.29%,133%,,,,,,,2,,
67,P.3.1,Equipment Loads,5.00,P.3.3,Equipment Spec,Efficient,"31,255.68","20,979.84",20.96%,"10,275.84",20.96%,,,,,,100%,,5,,
68,P.3.2,Elevator Loads  (W/m2 → Eqpt Gains),No Elevators,,,,,,,,,,,,,,,,,,
69,W.1.3,DHW System Losses,,,,,0.00,0.00,0.00%,0.00,0.00%,,,,,,,,,,
70,G.2,Plug/Light/Eqpt. Subtotals,,,,,"84,390.34","56,645.57",,"27,744.77",,,,,,,,,,,
71,,Internal Gains Totals,,,,,"149,086.36","100,071.67",100%,"49,014.69",100%,,,,,,,,,,
72,,SECTION 10. Radiant Gains,,"Orientation Alter if Skewed","SHGC 0.5 is Default",Winter Shading %,Summer Shading %,"Solar Gain Heating kWh/yr","Solar Gain Heating %","Solar Gain Cool Load kWh/yr","Solar Gain Cool Load %","Gain Factor kWh/m2/yr",,,"Energy Savings Net $/yr",,,,,,
73,G.7,Doors,7.50,Average,0.50,0%,100%,375.00,2.56%,0.00,0.00%,50,,ⓘ, $(48.75),,,,,,
74,G.8.1,Window Area North,81.14,North,0.50,0%,100%,106.29,0.73%,0.00,0.00%,1.31,,, $(13.82),,,,,,
75,G.8.2,Window Area East,3.83,East,0.50,0%,100%,294.68,2.01%,0.00,0.00%,76.94,,, $(38.31),,,,,,
76,G.8.3,Window Area South,159.00,South,0.50,0%,100%,"11,247.66",76.90%,0.00,0.00%,70.74,,," $(1,462.20)",,,,,,
77,G.8.4,Window Area West,100.66,West,0.50,0%,90%,"2,603.07",17.80%,130.15,100.00%,25.86,,, $(321.48),,,,,,
78,G.8.5,Skylights,0.00,Skylight,0.50,0%,80%,0.00,0.00%,0.00,0.00%,75,,, $-   ,,,,,,
79,G.1,Subtotal Solar Gains,,,,,,"14,626.70",100%,130.15,100%,,,,,,,,,,
80,G.2,Gains Utilization Factor (n-Factor),NRC 40%,"114,698.37",Total Gains,40.00%,,"45,879.35",G.3 Net Usable Gains by Method Selected,,,,,,,,,,,,
81,G.4,Net Usable Heating Season Gains,PH Method,"114,698.37",Total Gains,94.43%,,"108,307.67",Net Usable Gains by PHPP Method (Reference),,,,,,,,,,,,
82,G.5,Net UN-usable Htg. Gains,,,,,,"68,819.02",,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,
84,,SECTION 11. Transmission Losses,Areas m2,Rimp ft²F•hr/Btu,"RSI K•m2/W","U-Value W/m2•K",% of Ae & Ag,"Heatloss kWh/yr",Heatloss %,"Heatgain kWh/Cool Season",Heatgain %,Reference,,,"Heating Costs Net $/yr",,,,,,
85,B.4,Roof,"1,411.52",53.09,9.35,0.107,56.99%,"16,666.50",21.53%,710.14,21.56%,192%,,," $2,166.65 ",,,,4.87,User Defined Field: All values min. required by the noted reference standard in Cell D4,
86,B.5,Walls Above Grade (Exclude Openings!),712.97,37.99,6.69,0.149,28.79%,"11,765.60",15.20%,501.32,15.22%,159%,,," $1,529.53 ",,,,4.21,User Defined Field: All values min. required by the noted reference standard in Cell D4,
87,B.6,Floor Exposed,0.00,54.05,9.52,0.105,0.00%,0.00,0.00%,0.00,0.00%,169%,,, $-   ,,,,5.64,"User Defined Field: All values min. required by the noted reference standard in Cell D4: Value from NECB, if inapplicable, enter 0 sm in areas below",
88,B.7.0,Doors,7.50,6.31,1.111,0.900,0.30%,745.20,0.96%,31.75,0.96%,178%,,, $48.13 ,,,,1.6,User Defined Field: All values min. required by the noted reference standard in Cell D4,
89,B.8.1,Window Area North,81.14,6.31,1.111,0.900,3.28%,"8,062.07",10.41%,343.51,10.43%,178%,,," $1,034.25 ",,,,1.6,User Defined Field: All values min. required by the noted reference standard in Cell D4,
90,B.8.2,Window Area East,3.83,6.31,1.111,0.900,0.15%,380.55,0.49%,16.21,0.49%,178%,,, $11.16 ,,,,1.6,,
91,B.8.3,Window Area South,159.00,6.31,1.111,0.900,6.42%,"15,798.24",20.41%,673.14,20.44%,178%,,, $591.58 ,,,,1.6,,
92,B.8.4,Window Area West,100.66,6.31,1.111,0.900,4.06%,"10,001.58",12.92%,426.15,12.94%,178%,,, $961.81 ,,,,1.6,,
93,B.8.5,Skylights,0.00,6.31,1.111,0.900,0.00%,0.00,0.00%,0.00,0.00%,178%,,, $-   ,,,,1.6,,
94,B.9,Walls Below Grade (Conditioned Space),0.00,22.71,4.00,0.250,0.00%,0.00,0.00%,0.00,0.00%,108%,,, $-   ,,,,3.72,User Defined Field: All values min. required by the noted reference standard in Cell D4,
95,B.10,Floor Slab (Conditioned Space),"1,100.42",21.01,3.70,0.270,100.00%,"13,990.20",18.07%,"-5,995.80",-182.05%,189%,,," $1,818.73 ",,,,1.96,User Defined Field: All values min. required by the noted reference standard in Cell D4,
96,B.11,B.11 Interior Floors (incl. garages),29.70,-,-,-,-,-,-,-,-,,,,,,,,,"This cell does not form part of heatloss and cooling calcs, but will be used in embodied carbon calcs",
97,B.12,Thermal Bridge Penalty (min. 5-70%),20%,(Assume Code Minimum Construction at 50%),,,,"15,481.99",20.00%,-658.71,-20.00%,,,," $1,927.03 ",,,,,"U-Value Reduction Factor from 5-50% with 5% for PH, 50% for Conventional Design. NOTE: NECB/NBC/OBC do NOT account for TB reductions, so 50% should be assumed for reference models",
98,,Envelope Totals,"3,577.04",17.51,,,100%,"77,409.95",100%,"-3,293.57",100%,,,," $10,088.85 ",,,,,"Calculated Field:(Doors + Windows) / (Net Walls Above Grade + Doors + Windows)  for SB12 0.22, for NECB 2020: 0.4 where HDD<4000, 2000-0.2*HDD/3000 for 4000HDD<HDD<7000 and 0.2 for HDD >=7000HDD",
99,,,,,,,,,,,,,,,,,,,,,
100,,SECTION 12. Volume and Surface Metrics,,,,"U-Value W/m2•K","Loss Rate kWh/m2","Heatloss kWh/yr","Gain Rate kWh/m2","Heatgain kWh/Cool Season",Heatloss %,Reference,,,,,,,,,
101,B.16,Total Area Exposed to Air (Ae),"2,476.62",m2,U-Val. for Ae,0.278,30.73,"76,103.69",1.31,"3,242.68",65.57%,,,,,,,,,"Ae = all surfaces exposed to exterior air, walls and roofs - Passive House guidance for Ontario 0.15",
102,B.17,Total Area Exposed to Ground (Ag),"1,100.42",m2,U-Val. for Ag,0.324,15.26,"16,788.25",-13.08,"-14,389.92",14.46%,,,,,,,,,"Ag = all below grade surfaces, walls and floors - Passive House guidance for Ontario 0.15",
103,B.18.3,Heating Natural Air Leakage Heatloss,1.5,Stories,B.18.3 Shielding,Normal,16.24,"23,178.39",0.69,987.60,19.97%,,,,,,,,,,
104,T.4,Building U-Value Combined Total & Transmission Losses & Gains,,,,0.292,,"116,070.33",,"-3,293.57",100%,N/A,,,,,,,-,measured from interior face of exterior enclosure,
105,B.13,Total Conditioned Volume,"8,000.00",m3,Volume/Area,323%,Area/Volume,31%,,,,,,,,,,,,,
106,B.14,Total Floor Area (Cond. + Uncond.),"1,130.12",m2 - Only used in E.3.2,,,,,,,,,,,,,,,,,
107,B.15,Window:Wall Ratio (WWR),33.06%,,,,,,,,,61%,,,,,,,0.22,,
108,B.18.1,NRL50 Target Method NBC2025 (Part 9),AL-1B,B.18.1,Target,1.17,L/s•m2,,,,,,,,NBC 2020  9.36.6.4.-A,,217%,,0.538,,
109,B.18.2,ACH50 Target (Converts B.18.1),1.30,B.18.2,Measured,1.50,,,,,,100%,,,,,,,1.5,,
110,B.18.4,Ae10 or ELA10 (m2),2.898,B.18.5.1,n-Factor,16.7,B.18.3,Ae10 Zone,2,,,173%,,,,,,,5,Lower values result in lower envelope transmission losses,
111,,,,,,,,,,,,,,,,,,,,Climate Specific Air-Leakage Zone per NBC https://cbhcc-cchcc.ca/eng/public-review/2024_1/pcfs/nbc20_divb_09.36.05.10._001819.html,
112,,SECTION 13. Mechanical Loads,kWh/yr,,,,,,,,kWh/yr,Reference,,,,,,,,,
113,M.1.0,Primary Heating System ,Heatpump,M.1.1 HSPF,12.5,M.1.2 COPheat,3.66,M.1.3 COPcool,2.7,M.1.4 Sink," 86,642.65 ",176%,,,,,,,7.1,"User Defined Field:  Enter 'No' if no Heat Pump specified or enter HSPF of 3.412, which derives a COP of 1 which is is the HSPF of an electric baseboard where 1kWh electrical input = 1kWh of thermal output. The COP derived from the HSPF (HSPF/3.412 = COPhtg) is generally COP+1 of the COP for the cooling season, because the COPhtg generally adds a factor of '1' to the heating load from the compressor's own heat. In other words the first 1 of a COPhtg is the same as an electric baseboard, the rest of the increase is a heat multiplier per Watt of electricity used to drive the comporessor. Refer to MNEC Table 5.2.12.1-A to G for COP and HSPF compliance requirements. If Cooling (B.1.2. is Yes, the efficiency from this section will be applied even if 'No' is selected for HP for Heating. This reflects all cases where houses have A/C only and do not use a Heatpump also for heating. ",
114,M.2.1,Heating System Demand,"32,529.13",,,,,M.1.5. CEER,9.1,M.1.6  Sink," 5,020.63 ",,,," $4,228.79 ",,,,,"Unpurchased Energy From Sink (Air, Ground)",
115,M.2.2,Heating Fuel Impact (ekWh/yr),0.00,M.2.3 Oil l/yr,0.00,M.2.4 Gas m3/yr,0.00,M.2.5 AFUE,0.98,M.2.5 Exhaust, -   ,109%,,, $-   ,,,,0.9,"Unpurchased Energy From Sink (Air, Ground)",
116,M.3.0,Heatpump or Dedicated Cooling System,Cooling,,,M.3.3 COPcool ONLY when Dedicated Cooling,,,2.7,M.3.4  Sink," 5,009.95 ",124%,,,,,,,3.3,Enter 0% if N/A,
117,M.3.5,Heatpump Cool Elect. Load,"3,018.04",,2.11,kWh/m2/yr,,M.3.6 CEER,9.1,,,4%,,,,,,,50,"Only relvt to PH Max. 10kWh/m2/yr and green text = Unpurchased Energy From Sink (Air, Ground)",
118,V.1.1,HRV/ERV/MVHR Efficiency (SRE),89.00%,,V.1.2 Ventilation Method,,Volume by Schedule,,V.1.3,ACH (Only if Volume-Based),3,162%,,, $392.35 ,,,,0.55,"PH Min. 75% at 0ºC, Note: SRE Values by HVI measure to -20ºC. Demand based ventilation where applicable may use the rate from cell G142 Hours Occupied.",
119,V.1.4,Per Person Ventilation Rate,14.00,l/s per person,29.66,cfm,50.40,m3/hr,V.1.5,Summer Boost ,None,112%,,,,,,,12.5,"V.1.2 Summer Bost Rate is just a test to see if cooling can be improved by ventilation increases alone, by reducing number of days active cooling is required, it should be set to 'None' as a final result, but you can increase V.1.1 if it shows benefits. Just check that V.1.1 does not adversely affect cooling at !Cooling worksheet line 48",
120,V.1.6,Volumetric Ventilation Rate,"3,333.33",l/s,"7,062.93",cfm,"12,000.00",m3/hr,,,,,,,,,,,0.45,Assumes constant ventilation even when unoccupied.,
121,V.2.1,Heating Season Ventil. Energy," 445,280.00 ",V.2.2,Heating Season Ventil. Energy Recovered,,,"396,299.20",V.2.3,Net Htg Season Ventil. Lost,,"48,980.80",,," $6,367.50 ",,,,,"Experimental free-cooling calc., 120 day cooling period seasonal average where gains can be exhausted overnight. Refer to 'Overheat Warning' worksheet.",
122,V.3.1,Incoming Cooling Season Ventil. Energy,"30,257.37",V.3.2,Latent Load Factor (Calculated on Cooling Worksheet),,,159%,,,,,,,,,,,,,
123,V.3.3,Outgoing Cooling Season Ventil. Energy,"26,929.06",,,,,,,,,,,,,,,,,,
124,V.4.1,Ventilation Free Cooling/Vent Capacity,54%,V.4.2,Free Cooling Limit,,"41,469.81",kWh/yr,Days Active Cooling Required (Experimental),,,-31,,," $(5,391.07)",,,,,Enter 0% if no anticipated window opening or MVHR Summer Bypass. see 'Overheat Warning' worksheet (uses V.1.1 Rate),
125,,,,,,,,,,,,,,,,,,,,,
126,,SECTION 14. TEDI & TELI Targeted,kWh/yr,,,,kWh/m2 /yr,,,,,kWh//yr,,ⓘ," $15,492.33 ",,,,,,
127,T.4.0,TED Targeted,"119,171.78",,T.4.1,TEDI,83.50,,,,"Includes V.5 Net Ventilation Losses, Excludes T.7.3 CEDI Ae",60%,,,,,,,50,,
128,T.4.2,TED Envelope (Excludes Ventilation),"70,190.98",,T.4.3,TEDI (Excludes Ventilation),49.18,,,,,,,," $9,124.83 ",,,,,Excludes V.5 Net Ventilation Losses,
129,T.4.4,CED Cooling Load Unmintigated,"76,437.53",,T.4.5,CEDI Unmitigated,53.56,,T.5.2 less Free Cool. & Vent. Exhaust,,," 8,038.67 ",,," $9,936.88 ",,,,,Unmitigated Cooling Load:  to consider overheating potential,
130,T.4.6,CEDI Cooling Load,6.11,W/m2Unmitigated,T.4.7,CEDI Mitigated,0.64,W/m2 Mitigated,,,,,,," $1,045.03 ",,,,,Unmitigated Cooling Load:  to consider overheating potential,
131,T.5.1,TEL Total Envelope Heatloss,"116,070.33",,T.5.2,TELI,81.33,,,,,,,,,,,,,,
132,T.5.3,CEG Cooling Envelope Heatgain,"-2,964.68",,T.5.4,CEGI,-2.08,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,
134,,SECTION 15. TEUI Targeted  ,,,,,,,,,,,,,,,,,,Renewable Energy Offsets are applied hereif entered above ,
135,T.6.0,TEU Targeted Electricity,"219,408.30", ekWh/yr ,T.6.1,TEUI,153.73,kWh/m2/yr,,,,Excludes ekWh of any Gas or Oil loads,,," $28,523.08 ",,,,,,
136,T.6.2,TEU Targeted Electricity if HP/Gas/Oil Bldg.,"132,765.65",kWh/yr,T.6.3,TEUI,93.03,kWh/m2/yr,,,,"Excludes ekWh of any Gas loads, and Applies COP for HP Equipment",,," $17,259.53 ",,,Costs,,Alternate value for TEUI if Heatpump Heating AND/OR Cooling is applied,
137,T.6.4,Peak Heating Load (Enclosure Only),46.03,kW,T.6.4,TEUI-imp,,," 157,076 ",BTU/hr,,,,,,,,,,,
